# R1,R2,R3,E
2.375000,4.117846,2.375100,19.183241
2.385000,4.126518,2.375100,19.109175
2.365000,4.109180,2.375100,19.257474
2.375000,4.126518,2.385100,19.109168
2.375000,4.109180,2.365100,19.257481
2.375000,4.138353,2.375100,19.173728
2.375000,4.097026,2.375100,19.196458
2.402528,4.108517,2.402614,18.816874
2.412528,4.117071,2.402614,18.743881
2.392528,4.099970,2.402614,18.890046
2.402528,4.117071,2.412614,18.743875
2.402528,4.099970,2.392614,18.890052
2.402528,4.130106,2.402614,18.801085
2.402528,4.086615,2.402614,18.836646
2.395668,4.081296,2.395733,18.932149
2.405668,4.089817,2.395733,18.857887
2.385668,4.072781,2.395733,19.006602
2.395668,4.089817,2.405733,18.857882
2.395668,4.072781,2.385733,19.006607
2.395668,4.103045,2.395733,18.912535
2.395668,4.059236,2.395733,18.955943
2.397588,4.091916,2.397647,18.896730
2.407588,4.100453,2.397647,18.822929
2.387588,4.083386,2.397647,18.970715
2.397588,4.100453,2.407647,18.822924
2.397588,4.083386,2.387647,18.970720
2.397588,4.113578,2.397647,18.878756
2.397588,4.069943,2.397647,18.918798
2.397570,4.091789,2.397618,18.897158
2.217000,4.312529,2.838000,16.619305
2.217000,4.312529,2.838000,16.619305
2.227000,4.320617,2.838000,16.576658
2.207000,4.304448,2.838000,16.661976
2.217000,4.321411,2.848000,16.544193
2.217000,4.303651,2.828000,16.694727
2.217000,4.335143,2.838000,16.612608
2.217000,4.289595,2.838000,16.629023
2.227000,4.329493,2.848000,16.502258
2.207000,4.295564,2.828000,16.738118
2.227000,4.343291,2.838000,16.570512
2.207000,4.281575,2.838000,16.672276
2.217000,4.344059,2.848000,16.537866
2.217000,4.280751,2.828000,16.704865
2.226875,4.248937,2.803945,16.854371
2.236875,4.256947,2.803945,16.808261
2.216875,4.240935,2.803945,16.900547
2.226875,4.257734,2.813945,16.778064
2.226875,4.240144,2.793945,16.931026
2.226875,4.272067,2.803945,16.841156
2.226875,4.225491,2.803945,16.870994
2.236875,4.265738,2.813945,16.732673
2.216875,4.232136,2.793945,16.977931
2.236875,4.280138,2.803945,16.795659
2.216875,4.217550,2.803945,16.917817
2.226875,4.280900,2.813945,16.765324
2.226875,4.216733,2.793945,16.948179
2.228192,4.248925,2.799134,16.883065
2.238192,4.256948,2.799134,16.836703
2.218192,4.240911,2.799134,16.929496
2.228192,4.257724,2.809134,16.806754
2.228192,4.240132,2.789134,16.959725
2.228192,4.272004,2.799134,16.870152
3.036600,3.036600,3.036600,17.658935
3.046600,3.036600,3.041612,17.579548
3.026600,3.036600,3.031612,17.739252
3.036600,3.046600,3.041612,17.579548
3.036600,3.026600,3.031612,17.739252
3.036600,3.036600,3.059520,17.539092
3.036600,3.036600,3.013622,17.783463
2.784345,2.784342,2.803483,22.425259
2.794345,2.784342,2.808530,22.310639
2.774345,2.784342,2.798462,22.540951
2.784345,2.794342,2.808530,22.310639
2.784345,2.774342,2.798462,22.540951
2.784345,2.784342,2.824450,22.269491
2.784345,2.784342,2.782462,22.585823
2.912885,2.912884,2.889300,19.995946
2.922885,2.912884,2.894272,19.898802
2.902885,2.912884,2.884353,20.094077
2.912885,2.922884,2.894272,19.898802
2.912885,2.902884,2.884353,20.094077
2.912885,2.912884,2.911346,19.851171
2.912885,2.912884,2.867199,20.145606
2.884819,2.884819,2.886191,20.386531
2.894819,2.884819,2.891206,20.286274
2.874819,2.884819,2.881201,20.487798
2.884819,2.894819,2.891206,20.286274
2.884819,2.874819,2.881201,20.487798
2.884819,2.884819,2.907962,20.242688
2.884819,2.884819,2.864365,20.535170
2.880645,2.880645,2.879496,20.487924
2.890645,2.880645,2.884507,20.386968
2.870645,2.880645,2.874511,20.589890
2.880645,2.890645,2.884507,20.386968
