# R1,R2,R3
2.375000,4.117846,2.375100
2.385000,4.126518,2.375100
2.365000,4.109180,2.375100
2.375000,4.126518,2.385100
2.375000,4.109180,2.365100
2.375000,4.138353,2.375100
2.375000,4.097026,2.375100
2.402528,4.108517,2.402614
2.412528,4.117071,2.402614
2.392528,4.099970,2.402614
2.402528,4.117071,2.412614
2.402528,4.099970,2.392614
2.402528,4.130106,2.402614
2.402528,4.086615,2.402614
2.395668,4.081296,2.395733
2.405668,4.089817,2.395733
2.385668,4.072781,2.395733
2.395668,4.089817,2.405733
2.395668,4.072781,2.385733
2.395668,4.103045,2.395733
2.395668,4.059236,2.395733
2.397588,4.091916,2.397647
2.407588,4.100453,2.397647
2.387588,4.083386,2.397647
2.397588,4.100453,2.407647
2.397588,4.083386,2.387647
2.397588,4.113578,2.397647
2.397588,4.069943,2.397647
2.397570,4.091789,2.397618
2.217000,4.312529,2.838000
2.227000,4.320617,2.838000
2.207000,4.304448,2.838000
2.217000,4.321411,2.848000
2.217000,4.303651,2.828000
2.217000,4.335143,2.838000
2.217000,4.289595,2.838000
2.227000,4.329493,2.848000
2.207000,4.295564,2.828000
2.227000,4.343291,2.838000
2.207000,4.281575,2.838000
2.217000,4.344059,2.848000
2.217000,4.280751,2.828000
2.226875,4.248937,2.803945
2.236875,4.256947,2.803945
2.216875,4.240935,2.803945
2.226875,4.257734,2.813945
2.226875,4.240144,2.793945
2.226875,4.272067,2.803945
2.226875,4.225491,2.803945
2.236875,4.265738,2.813945
2.216875,4.232136,2.793945
2.236875,4.280138,2.803945
2.216875,4.217550,2.803945
2.226875,4.280900,2.813945
2.226875,4.216733,2.793945
2.228192,4.248925,2.799134
2.238192,4.256948,2.799134
2.218192,4.240911,2.799134
2.228192,4.257724,2.809134
2.228192,4.240132,2.789134
2.228192,4.272004,2.799134
3.036600,3.036600,3.036600
3.046600,3.036600,3.041612
3.026600,3.036600,3.031612
3.036600,3.046600,3.041612
3.036600,3.026600,3.031612
3.036600,3.036600,3.059520
3.036600,3.036600,3.013622
2.784345,2.784342,2.803483
2.794345,2.784342,2.808530
2.774345,2.784342,2.798462
2.784345,2.794342,2.808530
2.784345,2.774342,2.798462
2.784345,2.784342,2.824450
2.784345,2.784342,2.782462
2.912885,2.912884,2.889300
2.922885,2.912884,2.894272
2.902885,2.912884,2.884353
2.912885,2.922884,2.894272
2.912885,2.902884,2.884353
2.912885,2.912884,2.911346
