R1,R2,R3
2.375000e+00,4.117846e+00,2.375100e+00
2.385000e+00,4.126518e+00,2.375100e+00
2.365000e+00,4.109180e+00,2.375100e+00
2.375000e+00,4.126518e+00,2.385100e+00
2.375000e+00,4.109180e+00,2.365100e+00
2.375000e+00,4.138353e+00,2.375100e+00
2.375000e+00,4.097026e+00,2.375100e+00
2.402528e+00,4.108517e+00,2.402614e+00
2.412528e+00,4.117071e+00,2.402614e+00
2.392528e+00,4.099970e+00,2.402614e+00
2.402528e+00,4.117071e+00,2.412614e+00
2.402528e+00,4.099970e+00,2.392614e+00
2.402528e+00,4.130106e+00,2.402614e+00
2.402528e+00,4.086615e+00,2.402614e+00
2.395668e+00,4.081296e+00,2.395733e+00
2.405668e+00,4.089817e+00,2.395733e+00
2.385668e+00,4.072781e+00,2.395733e+00
2.395668e+00,4.089817e+00,2.405733e+00
2.395668e+00,4.072781e+00,2.385733e+00
2.395668e+00,4.103045e+00,2.395733e+00
2.395668e+00,4.059236e+00,2.395733e+00
2.397588e+00,4.091916e+00,2.397647e+00
2.407588e+00,4.100453e+00,2.397647e+00
2.387588e+00,4.083386e+00,2.397647e+00
2.397588e+00,4.100453e+00,2.407647e+00
2.397588e+00,4.083386e+00,2.387647e+00
2.397588e+00,4.113578e+00,2.397647e+00
2.397588e+00,4.069943e+00,2.397647e+00
2.397570e+00,4.091789e+00,2.397618e+00
2.217000e+00,4.312529e+00,2.838000e+00
2.217000e+00,4.312529e+00,2.838000e+00
2.227000e+00,4.320617e+00,2.838000e+00
2.207000e+00,4.304448e+00,2.838000e+00
2.217000e+00,4.321411e+00,2.848000e+00
2.217000e+00,4.303651e+00,2.828000e+00
2.217000e+00,4.335143e+00,2.838000e+00
2.217000e+00,4.289595e+00,2.838000e+00
2.227000e+00,4.329493e+00,2.848000e+00
2.207000e+00,4.295564e+00,2.828000e+00
2.227000e+00,4.343291e+00,2.838000e+00
2.207000e+00,4.281575e+00,2.838000e+00
2.217000e+00,4.344059e+00,2.848000e+00
2.217000e+00,4.280751e+00,2.828000e+00
2.226875e+00,4.248937e+00,2.803945e+00
2.236875e+00,4.256947e+00,2.803945e+00
2.216875e+00,4.240935e+00,2.803945e+00
2.226875e+00,4.257734e+00,2.813945e+00
2.226875e+00,4.240144e+00,2.793945e+00
2.226875e+00,4.272067e+00,2.803945e+00
2.226875e+00,4.225491e+00,2.803945e+00
2.236875e+00,4.265738e+00,2.813945e+00
2.216875e+00,4.232136e+00,2.793945e+00
2.236875e+00,4.280138e+00,2.803945e+00
2.216875e+00,4.217550e+00,2.803945e+00
2.226875e+00,4.280900e+00,2.813945e+00
2.226875e+00,4.216733e+00,2.793945e+00
2.228192e+00,4.248925e+00,2.799134e+00
2.238192e+00,4.256948e+00,2.799134e+00
2.218192e+00,4.240911e+00,2.799134e+00
2.228192e+00,4.257724e+00,2.809134e+00
2.228192e+00,4.240132e+00,2.789134e+00
2.228192e+00,4.272004e+00,2.799134e+00
3.036600e+00,3.036600e+00,3.036600e+00
3.046600e+00,3.036600e+00,3.041612e+00
3.026600e+00,3.036600e+00,3.031612e+00
3.036600e+00,3.046600e+00,3.041612e+00
3.036600e+00,3.026600e+00,3.031612e+00
3.036600e+00,3.036600e+00,3.059520e+00
3.036600e+00,3.036600e+00,3.013622e+00
2.784345e+00,2.784342e+00,2.803483e+00
2.794345e+00,2.784342e+00,2.808530e+00
2.774345e+00,2.784342e+00,2.798462e+00
2.784345e+00,2.794342e+00,2.808530e+00
2.784345e+00,2.774342e+00,2.798462e+00
2.784345e+00,2.784342e+00,2.824450e+00
2.784345e+00,2.784342e+00,2.782462e+00
2.912885e+00,2.912884e+00,2.889300e+00
2.922885e+00,2.912884e+00,2.894272e+00
2.902885e+00,2.912884e+00,2.884353e+00
2.912885e+00,2.922884e+00,2.894272e+00
2.912885e+00,2.902884e+00,2.884353e+00
2.912885e+00,2.912884e+00,2.911346e+00
2.912885e+00,2.912884e+00,2.867199e+00
2.884819e+00,2.884819e+00,2.886191e+00
2.894819e+00,2.884819e+00,2.891206e+00
2.874819e+00,2.884819e+00,2.881201e+00
2.884819e+00,2.894819e+00,2.891206e+00
2.884819e+00,2.874819e+00,2.881201e+00
2.884819e+00,2.884819e+00,2.907962e+00
2.884819e+00,2.884819e+00,2.864365e+00
2.880645e+00,2.880645e+00,2.879496e+00
2.890645e+00,2.880645e+00,2.884507e+00
2.870645e+00,2.880645e+00,2.874511e+00
2.880645e+00,2.890645e+00,2.884507e+00
2.880645e+00,2.870645e+00,2.874511e+00
2.880645e+00,2.880645e+00,2.901242e+00
2.880645e+00,2.880645e+00,2.857695e+00
2.880618e+00,2.880618e+00,2.881350e+00
2.890618e+00,2.880618e+00,2.886364e+00
2.870618e+00,2.880618e+00,2.876362e+00
2.880618e+00,2.890618e+00,2.886364e+00
2.880618e+00,2.870618e+00,2.876362e+00
2.880618e+00,2.880618e+00,2.903091e+00
2.880618e+00,2.880618e+00,2.859554e+00
2.880767e+00,2.880767e+00,2.881167e+00
2.222335e+00,2.666756e+00,2.870630e+00
2.232335e+00,2.669987e+00,2.870630e+00
2.212335e+00,2.663558e+00,2.870630e+00
2.222335e+00,2.673567e+00,2.880630e+00
2.222335e+00,2.659964e+00,2.860630e+00
2.222335e+00,2.685100e+00,2.870630e+00
2.222335e+00,2.648372e+00,2.870630e+00
2.240650e+00,1.857582e+00,3.387067e+00
2.250650e+00,1.854000e+00,3.387067e+00
2.230650e+00,1.861211e+00,3.387067e+00
2.240650e+00,1.865461e+00,3.397067e+00
2.240650e+00,1.849723e+00,3.377067e+00
2.240650e+00,1.875864e+00,3.387067e+00
2.240650e+00,1.839388e+00,3.387067e+00
2.176176e+00,2.062912e+00,3.318242e+00
2.186176e+00,2.060686e+00,3.318242e+00
2.166176e+00,2.065184e+00,3.318242e+00
2.176176e+00,2.070613e+00,3.328242e+00
2.176176e+00,2.055230e+00,3.308242e+00
2.176176e+00,2.081438e+00,3.318242e+00
2.176176e+00,2.044431e+00,3.318242e+00
2.279689e+00,2.157113e+00,3.300300e+00
2.289689e+00,2.156076e+00,3.300300e+00
2.269689e+00,2.158195e+00,3.300300e+00
2.279689e+00,2.164392e+00,3.310300e+00
2.279689e+00,2.149856e+00,3.290300e+00
2.279689e+00,2.176905e+00,3.300300e+00
2.279689e+00,2.137341e+00,3.300300e+00
2.326037e+00,2.254550e+00,3.371700e+00
